title,name,address,contact,url
Personal Care,Elements Massage,,,https://elementsmassage.com/rockville-centre
Personal Care,316 Sunrise Hwy,316 Sunrise Hwy,,
Personal Care,"Rockville Centre, NY 11570","Rockville Centre, NY 11570",,
Personal Care,Tel: 516.544.4400,Tel: 516.544.4400,,
Personal Care,,,,
Personal Care,Red Phoenix Wellness,,,http://www.longislandmassagetherapy.com/
Personal Care,90 2nd St,90 2nd St,,
Personal Care,"Mineola, NY","Mineola, NY",,
Personal Care,Tel: 516.307.9017,Tel: 516.307.9017,,
Personal Care,Hairsay Salon,,,https://www.hairsay.com/hairsay-salon-garden-city-park/
Personal Care,409 Jericho Turnpike,409 Jericho Turnpike,,
Personal Care,"Garden City Park, NY","Garden City Park, NY",,
Personal Care,Tel: 516.742.4247,Tel: 516.742.4247,,
Personal Care,,,,
Personal Care,"La Bella Vita Hair Salon, Inc",,,http://www.lbvhairsalon.com/Contact
Personal Care,937 Franklin Ave,937 Franklin Ave,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.750.8604,Tel: 516.750.8604,,
Personal Care,,,,
Personal Care,Textures Hair Studio,,,http://texturesstudio.com/
Personal Care,16 Nassau Blvd,16 Nassau Blvd,,
Personal Care,"Garden City South, NY 11530","Garden City South, NY 11530",,
Personal Care,Tel: 516.292.2952,Tel: 516.292.2952,,
Personal Care,,,,
Personal Care,Tomy B. Salon,,,https://tomybsalon.com/
Personal Care,113 Hillside Avenue,113 Hillside Avenue,,
Personal Care,"Williston Park, NY","Williston Park, NY",,
Personal Care,Tel: 516.621.4100,Tel: 516.621.4100,,
Personal Care,,,,
Personal Care,Hairsay Salon,,,https://www.hairsay.com/
Personal Care,55 Old Shore Rd,55 Old Shore Rd,,
Personal Care,"Port Washington, NY","Port Washington, NY",,
Personal Care,Tel: 516.767.5555,Tel: 516.767.5555,,
Personal Care,,,,
Personal Care,The Edge,,,http://www.theedgehairsalon.com/
Personal Care,630 Old Country Rd,630 Old Country Rd,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.747.0606,Tel: 516.747.0606,,
Personal Care,,,,
Personal Care,Adesso The Salon,,,https://www.adessothesalon.com/
Personal Care,255 Post Ave,255 Post Ave,,
Personal Care,"Westbury, NY","Westbury, NY",,
Personal Care,Tel: 516.333.8550,Tel: 516.333.8550,,
Personal Care,,,,
Personal Care,Hair Junkie Salon,,,http://www.thehairjunkiesalon.com/
Personal Care,650 Willis Ave,650 Willis Ave,,
Personal Care,"Williston Park, NY 11530","Williston Park, NY 11530",,
Personal Care,Tel: 516.747.1112,Tel: 516.747.1112,,
Personal Care,,,,
Personal Care,MGM Hair Studios,,,http://mgmhair.com/
Personal Care,984 Old Country Rd,984 Old Country Rd,,
Personal Care,"Westbury, NY","Westbury, NY",,
Personal Care,Tel: 516.333.3838,Tel: 516.333.3838,,
Personal Care,,,,
Personal Care,Hair Machine Salon,,,http://www.goldwell.expert/
Personal Care,40 S Park Ave,40 S Park Ave,,
Personal Care,"Rockville Centre, NY 11570","Rockville Centre, NY 11570",,
Personal Care,Tel: 516.766.4035,Tel: 516.766.4035,,
Personal Care,,,,
Personal Care,Red Door Salon & Spa: Garden City Hotel,,,https://www.gardencityhotel.com/red-door-spa
Personal Care,45 7th St,45 7th St,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.663.7600,Tel: 516.663.7600,,
Personal Care,,,,
Personal Care,Dry Bar Rosyln,,,https://www.thedrybar.com/locations/roslyn-heights
Personal Care,250 S Service Rd,250 S Service Rd,,
Personal Care,"Roslyn Heights, NY","Roslyn Heights, NY",,
Personal Care,Tel: 917.522.9772,Tel: 917.522.9772,,
Personal Care,,,,
Personal Care,Blo Blow Dry Bar,,,http://blomedry.com/locations/blo-glen-cove-road/
Personal Care,50 Glen Cove Rd,50 Glen Cove Rd,,
Personal Care,"Greenvale, NY 11548","Greenvale, NY 11548",,
Personal Care,Tel: 516.621.7750,Tel: 516.621.7750,,
Personal Care,Zippity Doo’s,Zippity Doo’s,,
Personal Care,398 Willis Ave,398 Willis Ave,,
Personal Care,"Roslyn Heights, NY","Roslyn Heights, NY",,
Personal Care,Tel: 516.625.3730,Tel: 516.625.3730,,
Personal Care,,,,
Personal Care,Buzzing Bees Kids Hair Salon,,,https://buzzingbeesalon.com/
Personal Care,131 Main St #6,131 Main St #6,,
Personal Care,"East Rockaway, NY","East Rockaway, NY",,
Personal Care,Tel: 516.612.3855,Tel: 516.612.3855,,
Personal Care,,,,
Personal Care,The Little Clippers,,,https://www.thelittleclippers.com/
Personal Care,2894 Long Beach Rd,2894 Long Beach Rd,,
Personal Care,"Oceanside, NY","Oceanside, NY",,
Personal Care,Tel: 516.442.4755,Tel: 516.442.4755,,
Personal Care,,,,
Personal Care,Lemon Tree,491 Willis Ave Williston Park Tel:516.741.3105,,https://lemontree.com/
Personal Care,400 Merrick Road,400 Merrick Road Tel:516.536.8833,,
Personal Care,1625 Hillside Avenue,1625 Hillside Avenue,,
Personal Care,,Tel: 516.482.5217,,
Personal Care,Deep Blue Med Spa,,,https://www.deepbluemedspa.com/
Personal Care,999 Franklin Ave,999 Franklin Ave,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.665.1922,Tel: 516.665.1922,,
Personal Care,,,,
Personal Care,Cavi Spa,,,http://cavispa.com/
Personal Care,647 Franklin Ave,647 Franklin Ave,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.941.1600,Tel: 516.941.1600,,
Personal Care,,,,
Personal Care,Deep Blue Med Spa,,,https://www.deepbluemedspa.com/
Personal Care,2200 Northern Blvd #201,2200 Northern Blvd #201,,
Personal Care,"Greenvale, NY","Greenvale, NY",,
Personal Care,Tel: 516.439.5500,Tel: 516.439.5500,,
Personal Care,Truth & Beauty,Truth & Beauty,,
Personal Care,250 S Service Rd,250 S Service Rd,,
Personal Care,"Roslyn Heights, NY","Roslyn Heights, NY",,
Personal Care,Tel: 516.625.7000,Tel: 516.625.7000,,
Personal Care,,,,
Personal Care,Angelic Medi Spa,Angelic Medi Spa,,
Personal Care,91 Atlantic Ave,91 Atlantic Ave,,
Personal Care,"Lynbrook, NY","Lynbrook, NY",,
Personal Care,Tel: 516.665-1252,,Tel: 516.665-1252,
Personal Care,,,,
Personal Care,Omage Medispa,Omage Medispa,,
Personal Care,936 Willis Ave,936 Willis Ave,,
Personal Care,"Albertson, NY","Albertson, NY",,
Personal Care,Tel: 516.791.3150,Tel: 516.791.3150,,
Personal Care,,,,
Personal Care,Great Neck Medical Spa,,,https://www.greatneckmedicalspa.com/
Personal Care,,770 Middle Neck Rd,,
Personal Care,"Great Neck, NY","Great Neck, NY",,
Personal Care,Tel: 516.439.5075,Tel: 516.439.5075,,
Personal Care,,,,
Personal Care,NY Face Place,,,https://www.newyorksfaceplace.com/
Personal Care,134 Mineola Blvd,134 Mineola Blvd,,
Personal Care,"Mineola, NY","Mineola, NY",,
Personal Care,Tel: 516.294.9454,Tel: 516.294.9454,,
Personal Care,,,,
Personal Care,CoolSculpting Spa of Great Neck,,,https://www.freezethefatlongisland.com/
Personal Care,450 Northern Blvd,450 Northern Blvd,,
Personal Care,"Great Neck, NY","Great Neck, NY",,
Personal Care,Tel: 516.472.0038,Tel: 516.472.0038,,
Personal Care,,,,
Personal Care,Prism Med Spa,,,http://www.prismmedspa.com/
Personal Care,"41 Main St,","41 Main St,",,
Personal Care,"Roslyn, NY","Roslyn, NY",,
Personal Care,Tel: 516.277.2293,Tel: 516.277.2293,,
Personal Care,,,,
Personal Care,NY Laser MD,,,https://nylasermd.com/
Personal Care,304 Jericho Turnpike,304 Jericho Turnpike,,
Personal Care,"Floral Park, NY","Floral Park, NY",,
Personal Care,Tel: 718.360.2330,Tel: 718.360.2330,,
Personal Care,Dashing Diva,,,https://dashingdiva.com/
Personal Care,953 Franklin Ave,953 Franklin Ave,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.739.1111,Tel: 516.739.1111,,
Personal Care,,,,
Personal Care,Dashing Diva Roslyn,,,https://dashingdiva.com/
Personal Care,381 Glen Cove Road,381 Glen Cove Road,,
Personal Care,"Roslyn Heights, NY 11577","Roslyn Heights, NY 11577",,
Personal Care,Tel: 516.484.1100,Tel: 516.484.1100,,
Personal Care,,,,
Personal Care,Blooming Nail,Blooming Nail,,
Personal Care,293 Nassau Blvd,293 Nassau Blvd,,
Personal Care,"Garden City, NY","Garden City, NY",,
Personal Care,Tel: 516.538.9500,Tel: 516.538.9500,,
Personal Care,,,,
Personal Care,Embellish Nail,Embellish Nail,,
Personal Care,12 Ocean Ave,12 Ocean Ave,,
Personal Care,"Lynbrook, NY","Lynbrook, NY",,
Personal Care,Tel: 516.561.7571,Tel: 516.561.7571,,
Personal Care,,,,
Personal Care,Manhasset Nail,Manhasset Nail,,
Personal Care,331 Plandome Rd,331 Plandome Rd,,
Personal Care,"Manhasset, NY","Manhasset, NY",,
Personal Care,Tel: 516.627.2233,Tel: 516.627.2233,,
Personal Care,,,,
Personal Care,Refresh Nail & Spa,Refresh Nail & Spa,,
Personal Care,27 Plandome Rd,27 Plandome Rd,,
Personal Care,"Manhasset, NY","Manhasset, NY",,
Personal Care,Tel: 516.365.9455,Tel: 516.365.9455,,
Personal Care,,,,
Personal Care,Village Nails of Roslyn,Village Nails of Roslyn,,
Personal Care,1322 Old Northern Blvd,1322 Old Northern Blvd,,
Personal Care,"Roslyn, NY","Roslyn, NY",,
Personal Care,Tel: 516.625.6245,Tel: 516.625.6245,,
Personal Care,,,,
Personal Care,Mirabeau Nail Boutique,,,http://www.mirabeaunail.com/
Personal Care,1439 Old Northern Blvd,1439 Old Northern Blvd,,
Personal Care,"Roslyn, NY","Roslyn, NY",,
Personal Care,Tel: 516.484.1450,Tel: 516.484.1450,,
Personal Care,,,,
Personal Care,Icon Nail & Spa Inc,,,http://www.iconicnailspa.com/
Personal Care,276A Sunrise Highway,276A Sunrise Highway,,
Personal Care,"Rockville Centre, NY","Rockville Centre, NY",,
Personal Care,Tel: 516.678.8688,Tel: 516.678.8688,,
Personal Care,Brazil Bronze of Long Island,,,http://brazilbronzeoflongisland.com/
Personal Care,20 Park Pl,20 Park Pl,,
Personal Care,"Great Neck, NY","Great Neck, NY",,
Personal Care,Tel: 516.504.1055,Tel: 516.504.1055,,
Personal Care,,,,
Personal Care,Golden Tan,Golden Tan,,
Personal Care,"62 Covert Ave,","62 Covert Ave,",,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.233.2424,Tel: 516.233.2424,,
Personal Care,,,,
Personal Care,European Image Tanning & Sunless Centers,,,https://www.europeanimagetan.com/roslyn-heights/
Personal Care,380 Willis Ave,380 Willis Ave,,
Personal Care,"Roslyn Heights, NY","Roslyn Heights, NY",,
Personal Care,Tel: 516.484.1130,Tel: 516.484.1130,,
Personal Care,,,,
Personal Care,European Image Tanning & Sunless Centers,,,https://www.europeanimagetan.com/franklyn-square/
Personal Care,330 Dogwood Ave,330 Dogwood Ave,,
Personal Care,"Franklin Square, NY","Franklin Square, NY",,
Personal Care,Tel: 516.539.026,Tel: 516.539.026,,
Personal Care,European Wax Center Garden City,,,https://www.waxcenter.com/ny-garden-city
Personal Care,690 Stewart Ave,690 Stewart Ave,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.222.1400,Tel: 516.222.1400,,
Personal Care,,,,
Personal Care,European Wax Center West Hempstead,,,https://www.waxcenter.com/ny-west-hempstead
Personal Care,458 Hempstead Turnpike,458 Hempstead Turnpike,,
Personal Care,"West Hempstead, NY 11552","West Hempstead, NY 11552",,
Personal Care,Tel: 516.558.2540,Tel: 516.558.2540,,
Personal Care,,,,
Personal Care,European Wax Center Oceanside,,,https://www.waxcenter.com/ny-oceanside-long-beach-road
Personal Care,2822 Long Beach Rd,2822 Long Beach Rd,,
Personal Care,"Oceanside, NY","Oceanside, NY",,
Personal Care,Tel: 516.252.1193,Tel: 516.252.1193,,
Personal Care,,,,
Personal Care,European Wax Center New Hyde Park,,,https://www.waxcenter.com/ny-new-hyde-park
Personal Care,1616 Marcus Ave,1616 Marcus Ave,,
Personal Care,"New Hyde Park, NY","New Hyde Park, NY",,
Personal Care,Tel: 516.488.4888,Tel: 516.488.4888,,
Personal Care,,,,
Personal Care,Patricia’s Brazilian Waxing,,,http://www.patriciasbrazilianwaxing.com/
Personal Care,"462 Jericho Turnpike,","462 Jericho Turnpike,",,
Personal Care,"Mineola, NY","Mineola, NY",,
Personal Care,Tel: 347.608.4437,Tel: 347.608.4437,,
Personal Care,,,,
Personal Care,Waxing the City,,,https://studios.waxingthecity.com/ll/US/NY/Garden-City/191-Seventh-Street
Personal Care,191 7th St,191 7th St,,
Personal Care,"Garden City, NY 11530","Garden City, NY 11530",,
Personal Care,Tel: 516.874.3800,Tel: 516.874.3800,,
Personal Care,,,,
Personal Care,Bare Fruit Sugaring & Brow Studio,,,https://barefruitsugaring.com/
Personal Care,320 Post Ave #103,320 Post Ave #103,,
Personal Care,"Westbury, NY","Westbury, NY",,
Personal Care,Tel: 516.214.7360,Tel: 516.214.7360,,
Personal Care,,,,
Personal Care,Sonia’s Waxing Plus,,,http://soniaswaxingplus.com/
Personal Care,396 Willis Ave,396 Willis Ave,,
Personal Care,"Roslyn Heights, NY","Roslyn Heights, NY",,
Personal Care,Tel: 516.801.1492,Tel: 516.801.1492,,
Personal Care,,,,
Personal Care,Wax Republic,,,https://waxrepublic.com/roslyn/
Personal Care,2 Main St,2 Main St,,
Personal Care,"Roslyn, NY","Roslyn, NY",,
Personal Care,Tel: 516.621.7900,Tel: 516.621.7900,,
