Title,Name,Address,Url
Restaurants,Local,Location: 75 South Greeley Ave ChappaquaContact: (914) 238-0698,http://Chappaqualocal.com
Restaurants,Crabtree Kittle House,Location: 11 Kittle Road ChappaquaContact: (914) 666-8044,http://wwwKittlehouse.com
Restaurants,Muscoot Tavern,Location: 105 Somerstown Turnpike KatonahContact: (914) 232-3212,http://www.muscoottavern.com
Restaurants,The Whitlock,Location: 17 Katonah Avenue KatonahContact: (914) 232-8030,http://www.thewhitlockny.com/
Restaurants,3 Westerly Bar and Grill,Location: 3 Westerly Rd OssiningContact: (914) 762-1333,https://www.3westerly.com
Restaurants,Southern Table,Location: 39 Marble Ave PleasantvilleContact: (914) 618-3355,http://Southern-table.com
Restaurants,Wood and Fire,Location: 59 Marble Ave PleasantvilleContact: (914) 747-2611,https://Woodandfirepizza.com
Restaurants,Dai Sushi,Location: 8 Pleasantville Rd PleasantvilleContact: (914) 769-0638,http://www.daisushirestaurant.com
Restaurants,Pub Street,Location: 20 Wheeler Ave PleasantvilleContact: (914) 909-5408,"https://www,pubstreet.com"
Restaurants,Mission Pleasantville,Location: 4472 Bedford Rd PleasantvilleContact: (914)741-5285,http://www.missionpleasantville.com
Restaurants,Exit 4 Food Hall,Location: 153 Main St Mt. KiscoContact: (914) 241-1200,http://www.exit4foodhall.com
Restaurants,Kisco River,Location: 22 East Main St Mt. KiscoContact: (914) 218-3877,http://www.kiscoriver.com/
Restaurants,Lexington Square Care,Location: 510 Lexington Ave Mt. KiscoContact: (914) 244-3663,http://Lexingtonsquarecafe.com
Restaurants,Stone Fire Restaurant,Location: 251 Lexington Ave Mt. KiscoContact: (914) 864-1888,http://Stonefireny.com
Restaurants,Village Social,Location: 251 E. Main St Mt. KiscoContact: (914) 864-4588,http://Villagesocialkb.com
Restaurants,Winston,Location: 130 E Main St Mt. KiscoContact: (914) 244-9780,https://winstonrestaurant.com/
Restaurants,Beas Cake Bakery,Location: 75 Main St ArmonkContact: (914) 273-3612,https://Flourandsunbakery.com
Restaurants,Sugar Hi Armonk,Location: 380 Main St ArmonkContact: (914) 273-4777,https://sugar-hi.com/
Restaurants,Baked By Susan,Location: 163 Grand Street Croton-on-HudsonContact: (914) 862-0874,https://Bakedbysusan.com
Restaurants,Flour and Sun Bakery,Location: 19 Washington Ave PleasantvilleContact: (914) 495-3232,https://flourandsunbakery.com/
Restaurants,Pleasantville Bakery,Location: 57 Wheeler Ave PleasantvilleContact: (914) 773-2014,https://pleasantvillebakery.com/
Restaurants,Gammie Cakes (Heather Guthrie Skovera),Location: 35 Bedford Rd PleasantvilleContact: (917) 517-3901,
Restaurants,,,
Restaurants,Sweets by Melissa,Contact: (914) 494-2111,http://www.sweetsbymelissa.net/
Restaurants,Sugar Hi Armonk,Location: 380 Main St ArmonkContact: (914) 273-4777,https://sugar-hi.com/
Restaurants,Lil’ Chocolate Shoppe,Location: 5 Washington Ave PleasantvilleContact: (914) 769-0771,
Restaurants,Blue Walrus Froyo,Location: 351 Manville Road PleasatnvilleContact: (914) 495-3999,http://www.bluewalrusfroyo.com/
Restaurants,King Kone,Location: 109 Rte 100 KatonahContact: (914) 232-0571,
Restaurants,The Beehive,Location: 30 Old Rte 22 ArmonkContact: (914) 765-0688,http://beehive-restaurant.com/
Restaurants,3 Westerly Bar and Grill,Location: 3 Westerly Rd OssiningContact: (914) 762-1333,https://www.3westerly.com/
Restaurants,BeWies Holistic Market,Location: 430 Bedford Rd ArmonkContact: (914) 273-9437,
Restaurants,Playa Bowls,Location: 465 Bedford Rd PleasantvilleContact: (914) 495-3438,http://playabowls.com/
Restaurants,DeCicco & Sons Armonk,Location: 17 Maple Ave ArmonkContact: (914) 499-1100,https://www.deciccoandsons.com/
Restaurants,Chappaqua Village Market,Location: 12 King St ChappaquaContact: (914) 238-4948,https://chappaquavillagemarket.com/
Restaurants,Katonah Reading Room,Location: 19 Edgemont Rd KatonahContact: (914) 232-1010,http://katonahreadingroom.com/
Restaurants,DeCicco & Sons Millwood,Location: 230 Saw Mill River Rd MillwoodContact: (914) 294-5700,https://www.deciccoandsons.com/millwood/
Restaurants,Mt. Kisco Seafood Inc,Location: 477 Lexington Ave Mt. KiscoContact: (914) 241-3113,http://www.mtkiscoseafood.com/
Restaurants,The Bagel Emporium Armonk,Location: 1820 391 Main St ArmonkContact: (914) 273-9111,https://www.bagelemporium.com/
Restaurants,Blue Dolphin,Location: 175 Katonah Ave KatonahContact: (914) 232-4791,http://thebluedolphinny.com/Welcome.html
Restaurants,Rocky’s Millwood Deli,Location: 35 Saw Mill River Rd MillwoodContact: (914) 941-2165,http://www.rockysdeli.net/
Restaurants,Mt Kisco Diner,Location: 252 E Main St Mt. KiscoContact: (914) 666-5676,http://mtkiscodiner.com/index.php
